Day,Hour,Temp,Dir,Spd
157,17,0.57337884,120,0.284313725
157,18,0.518771331,120,0.303921569
157,19,0.501706485,120,0.215686275
157,20,0.491467577,120,0.088235294
157,21,0.481228669,120,0.176470588
157,22,0.481228669,120,0.12745098
157,23,0.494880546,120,0.196078431
157,24,0.501706485,100,0.166666667
158,1,0.491467577,110,0.294117647
158,2,0.481228669,120,0.284313725
158,3,0.481228669,110,0.31372549
158,4,0.47440273,120,0.352941176
158,5,0.481228669,110,0.284313725
158,6,0.484641638,90,0.215686275
158,7,0.484641638,110,0.156862745
158,8,0.498293515,110,0.156862745
158,9,0.52559727,120,0.107843137
158,10,0.552901024,80,0.196078431
158,11,0.655290102,120,0.205882353
158,12,0.686006826,120,0.264705882
158,13,0.686006826,140,0.284313725
158,14,0.679180887,140,0.343137255
158,15,0.651877133,130,0.323529412
158,16,0.614334471,120,0.343137255
158,17,0.576791809,120,0.284313725
158,18,0.542662116,120,0.215686275
158,19,0.529010239,120,0.196078431
158,20,0.52559727,120,0.215686275
158,21,0.532423208,140,0.068627451
158,22,0.515358362,120,0.058823529
158,23,0.498293515,130,0.058823529
158,24,0.491467577,140,0.019607843
159,1,0.501706485,110,0
159,2,0.491467577,120,0
159,3,0.515358362,270,0
159,4,0.518771331,120,0
159,5,0.518771331,250,0
159,6,0.508532423,100,0
159,7,0.491467577,100,0
159,8,0.549488055,100,0
159,9,0.587030717,100,0
159,10,0.61774744,260,0
159,11,0.645051195,260,0.12745098
159,12,0.672354949,,
159,13,0.686006826,260,0.196078431
159,14,0.709897611,270,0.166666667
159,15,0.662116041,280,0.18627451
159,16,0.641638225,280,0.107843137
159,17,0.641638225,270,0
159,18,0.604095563,270,0
159,19,0.576791809,280,0.12745098
159,20,0.576791809,270,0
159,21,0.563139932,260,0
159,22,0.549488055,280,0
159,23,0.549488055,280,0
159,24,0.542662116,270,0
160,1,0.518771331,110,0.098039216
160,2,0.511945392,120,0.18627451
160,3,0.518771331,120,0.205882353
160,4,0.508532423,120,0.18627451
160,5,0.515358362,110,0.098039216
160,6,0.518771331,120,0.205882353
160,7,0.518771331,120,0.205882353
160,8,0.535836177,120,0.196078431
160,9,0.590443686,120,0.166666667
160,10,0.61774744,,
160,11,0.61774744,120,0.37254902
160,12,0.604095563,110,0.421568627
160,13,0.607508532,120,0.490196078
160,14,0.61774744,,
160,15,0.61774744,110,0.392156863
160,16,0.590443686,,
160,17,0.546075085,110,0.470588235
160,18,0.5221843,110,0.382352941
160,19,0.511945392,110,0.362745098
160,20,0.505119454,120,0.323529412
160,21,0.501706485,120,0.333333333
160,22,0.494880546,110,0.333333333
160,23,0.491467577,120,0.274509804
160,24,0.484641638,120,0.196078431
161,1,0.488054608,100,0.264705882
161,2,0.488054608,110,0.343137255
161,3,0.481228669,120,0.352941176
161,4,0.4778157,120,0.362745098
161,5,0.470989761,110,0.303921569
161,6,0.470989761,120,0.31372549
161,7,0.464163823,120,0.264705882
161,8,0.484641638,120,0.215686275
161,9,0.542662116,130,0.12745098
161,10,0.631399317,140,0.098039216
161,11,0.679180887,140,0.137254902
161,12,0.651877133,140,0.088235294
161,13,0.703071672,120,0.117647059
161,14,0.682593857,120,0.205882353
161,15,0.645051195,120,0.029411765
161,16,0.604095563,280,0.107843137
161,17,0.593856655,280,0.068627451
161,18,0.559726962,260,0
161,19,0.518771331,110,0.088235294
161,20,0.529010239,120,0.137254902
161,21,0.508532423,120,0.137254902
161,22,0.494880546,120,0.156862745
161,23,0.484641638,120,0.12745098
161,24,0.481228669,120,0.098039216
162,1,0.4778157,120,0.107843137
162,2,0.470989761,120,0.068627451
162,3,0.464163823,110,0.019607843
162,4,0.470989761,110,0.039215686
162,5,0.47440273,110,0.078431373
162,6,0.481228669,110,0.058823529
162,7,0.491467577,110,0.009803922
162,8,0.508532423,100,0
162,9,0.563139932,130,0
